Variable,Unit,Max|err|,RMSE,Max rtol
Net radiation,W m$^{-2}$,0.8299999999999272,0.04993878645374863,0.002931769722814413
Sensible heat,W m$^{-2}$,1.4019999999999992,0.06336837598730778,0.5354552780016114
Latent heat,W m$^{-2}$,7.467999999999989,0.457524776049259,27.091603053435115
GPP,μmol m$^{-2}$ s$^{-1}$,0.0,0.0,0.0
Vegetation temp,K,0.18200000000000216,0.008634724531908056,0.1358024691358024
Friction vel.,m s$^{-1}$,0.3349999999999973,0.016264592290174115,0.0356762513312035
Air temp. profile,K,0.0010000000000331966,0.00020851441405807039,3.386203253384013e-06
Wind profile,m s$^{-1}$,0.0,0.0,0.0
Humidity profile,g kg$^{-1}$,0.001000000000000334,0.0004170288281141499,0.00020669698222412856
CO2 profile,ppm,0.004999999999999893,0.0014890907643081224,0.007692307692307699
